pop Multicoliniarity Calculation (VIF):
              Variable       VIF
1                Tempo  1.593767
2        Loudness (db)  2.329796
3               Energy  3.468594
4         Danceability  1.708282
5         Positiveness  1.844313
6             Explicit  1.032839
7       Good for Party  1.459552
8  Good for Work/Study  1.771537
9    Good for Exercise  1.932061
