  Multicoliniarity Calculation (VIF):
              Variable       VIF
1                Tempo  1.359314
2        Loudness (db)  2.397498
3               Energy  2.971154
4         Danceability  1.660605
5         Positiveness  1.404719
6             Explicit  1.160336
7       Good for Party  1.320174
8  Good for Work/Study  1.476419
9    Good for Exercise  1.699289
